name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
ZM1622949,mappingafrica,v1.3.0,ZM,29.2215,-14.4725,0.1761001275510204,0.8238998724489797,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1622949_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1622949_904739_2021-08.tif,test
ZM1634599,mappingafrica,v1.3.0,ZM,28.7215,-14.5025,0.7062340561224489,0.293765944,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1634599_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1634599_904745_2021-08.tif,test
ZM1634645,mappingafrica,v1.3.0,ZM,28.9515,-14.5025,0.5068558673469388,0.4931441326530612,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1634645_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1634645_904746_2021-08.tif,test
ZM1656379,mappingafrica,v1.3.0,ZM,31.4215,-14.5575,0.8267697704081632,0.1732302295918367,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1656379_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1656379_904759_2021-08.tif,test
ZM1702968,mappingafrica,v1.3.0,ZM,28.2715,-14.6825,0.6159518494897959,0.3840481505102041,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1702968_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1702968_904783_2021-08.tif,test
ZM1706637,mappingafrica,v1.3.0,ZM,28.2415,-14.6925,0.4031210140306122,0.5968789859693878,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1706637_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1706637_904784_2021-08.tif,test
ZM1712155,mappingafrica,v1.3.0,ZM,28.3815,-14.7075,0.5927335778061225,0.4072664221938775,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1712155_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1712155_904787_2021-08.tif,test
ZM1716286,mappingafrica,v1.3.0,ZM,30.8115,-14.7175,0.298648756,0.7013512436224489,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1716286_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1716286_904789_2021-08.tif,test
ZM1717612,mappingafrica,v1.3.0,ZM,28.3515,-14.7225,0.4295280612244898,0.5704719387755102,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1717612_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1717612_904790_2021-08.tif,test
ZM1719919,mappingafrica,v1.3.0,ZM,30.8215,-14.7275,0.1907884247448979,0.8092115752551021,0,,./finetune_mappingafrica_256/mappingafrica-256/images/ZM1719919_2021-08.tif,./finetune_mappingafrica_256/mappingafrica-256/labels/ZM1719919_904794_2021-08.tif,test
